ID,ADDRESS,SUBURB,PRICE,BEDROOMS,BATHROOMS,GARAGE,LAND_AREA,FLOOR_AREA,BUILD_YEAR,CBD_DIST,NEAREST_STN,NEAREST_STN_DIST,DATE_SOLD,POSTCODE,LATITUDE,LONGITUDE,NEAREST_SCH,NEAREST_SCH_DIST,NEAREST_SCH_RANK
5622,11 Melton Hill Lane,Champion Lakes,205000,3,2,2,269,147,2015,22000,Kelmscott Station,2200,"02-2013",6111,-32.11539298,115.9900298,JOHN WOLLASTON ANGLICAN COMMUNITY SCHOOL,2.054625999,40
5623,7 Wedgewood Drive,Edgewater,405000,3,1,3,510,131,1978,21400,Edgewater Station,1200,"10-2019",6027,-31.76937,115.79056,MATER DEI COLLEGE,1.427390911,104
5624,25 Grover Way,Medina,230000,2,1,,728,76,1954,32000,Kwinana Station,3900,"06-2017",6167,-32.23516,115.80083,GILMORE COLLEGE,1.359272133,138
5625,15 Grand Paradiso Parade,Merriwa,381500,4,2,2,571,162,2006,35200,Butler Station,3100,"10-2015",6030,-31.66013,115.71574,ALKIMOS BAPTIST COLLEGE,0.527005379,
5626,69 Markwell Avenue,Haynes,195000,4,2,2,399,175,2014,26200,Armadale Station,2200,"09-2013",6112,-32.15938744,115.9900402,DALE CHRISTIAN SCHOOL,0.818833833,
5627,18 Harding Close,Waikiki,270000,4,2,2,480,145,1994,40400,Warnbro Station,2200,"11-2019",6169,-32.30654,115.76718,SOUTH COAST BAPTIST COLLEGE,1.337784082,
5628,141 Bindoon Loop,Huntingdale,450000,4,2,2,575,189,1995,18000,Seaforth Station,4300,"02-2017",6110,-32.08654,115.96568,SOUTHERN RIVER COLLEGE,1.345872459,121
5629,65 Archer Street,Pearsall,450000,3,2,6,610,175,1999,19700,Edgewater Station,3400,"08-2017",6065,-31.7796,115.81331,ALTA-1,0.641978602,
5630,1 Hansen Vista,Landsdale,538000,5,2,2,556,212,2006,15600,Greenwood Station,7700,"07-2019",6065,-31.81228,115.86481,LANDSDALE CHRISTIAN SCHOOL,0.650365382,
5631,68 Appleby Drive,Darch,590000,3,2,2,450,176,2012,15100,Greenwood Station,6500,"07-2017",6065,-31.81695833,115.8520221,ASHDALE SECONDARY COLLEGE,1.158542306,75
5632,5 Avon Crescent,Atwell,557500,4,2,2,677,199,2001,21200,Cockburn Central Station,2000,"08-2018",6164,-32.14227,115.86204,ATWELL COLLEGE,0.273043188,129
5633,8 Moombaki Avenue,Bertram,490000,4,2,2,660,193,2004,33300,Kwinana Station,1800,"03-2019",6167,-32.25095295,115.8396156,THE KING'S COLLEGE,0.386704352,
5634,74 St Catharines Promenade,Champion Lakes,440000,3,2,2,350,145,2009,22000,Kelmscott Station,2100,"08-2014",6111,-32.11541032,115.9908641,JOHN WOLLASTON ANGLICAN COMMUNITY SCHOOL,1.992120614,40
5635,31 Lowan Loop,Karawara,950000,3,2,2,645,231,2002,6600,Canning Bridge Station,2600,"02-2015",6152,-32.00736,115.88373,COMO SECONDARY COLLEGE,1.255312415,87
5636,40 Burnettia Lane,Mount Claremont,965000,3,2,2,200,167,2002,6300,Karrakatta Station,127,"05-2020",6010,-31.96834,115.795,SHENTON COLLEGE,1.222555631,14
5637,8 Daintree Loop,Bertram,387000,4,2,2,540,140,2002,32700,Kwinana Station,1500,"02-2016",6167,-32.24632,115.85082,THE KING'S COLLEGE,1.424312057,
5638,32 Adenine Bend,Piara Waters,550000,4,2,2,504,196,2015,19500,Cockburn Central Station,5500,"10-2018",6112,-32.1209333,115.914768,CAREY BAPTIST COLLEGE,2.215849247,62
5639,7 Kowloon Corner,Currambine,610000,4,2,2,598,244,2003,26800,Currambine Station,915,"05-2019",6028,-31.73194,115.74549,LAKE JOONDALUP BAPTIST COLLEGE,1.627941851,80
5640,3/116 Montreal Street,White Gum Valley,415000,2,1,2,1325,73,1985,14800,Fremantle Station,2200,"07-2016",6162,-32.05923718,115.7665151,FREMANTLE COLLEGE,0.974509122,128
5641,50 Bronzewing Loop,Wembley,1220000,4,2,2,401,255,2000,5500,Daglish Station,2600,"10-2018",6014,-31.92991,115.80645,BOLD PARK COMMUNITY SCHOOL,1.718012054,
5642,23 Chatham Road,Woodbridge,600000,4,3,2,1012,141,,14300,Woodbridge Station,203,"10-2012",6056,-31.89328,115.99311,GOVERNOR STIRLING SENIOR HIGH SCHOOL,0.631244448,130
5643,9 Kemp Court,Helena Valley,749000,4,2,3,974,241,2012,16300,Midland Station,3700,"12-2016",6056,-31.91646168,116.0267986,YOUTH FUTURES COMMUNITY SCHOOL,3.293589328,
5644,30 Kemshall Way,Maddington,450000,4,2,2,498,162,2010,17300,Madding,2000,"09-2018",6109,-32.04723505,116.0037874,ST FRANCIS' SCHOOL,1.838166714,
5645,27 Emperor Avenue,Beldon,535000,4,2,2,762,147,1976,21600,Edgewater Station,1900,"05-2016",6027,-31.77735,115.75924,BELRIDGE SECONDARY COLLEGE,0.859591804,102
5646,188 Kenwick Road,Kenwick,405000,4,2,1,685,143,1978,15300,Madding,2000,"09-2015",6107,-32.03210067,115.9905438,REHOBOTH CHRISTIAN COLLEGE,1.191194718,
5647,3/2 Bland Place,Beechboro,210000,3,1,,219,85,1989,12500,Success Hill Station,2800,"01-2020",6063,-31.875172,115.955434,KIARA COLLEGE,1.937304003,
5648,598 Hopeland Road,Hopeland,878000,2,1,1,199832,129,1997,50500,Warnbro Station,15500,"07-2019",6125,-32.40382504,115.9053309,BALDIVIS SECONDARY COLLEGE,10.60002453,134
5649,2 Archer Way,Wattle Grove,600000,4,2,2,582,228,,13000,Madding,5200,"04-2016",6107,-32.00261,115.98264,REHOBOTH CHRISTIAN COLLEGE,3.257187952,
5650,12 Hopewell Pass,Carramar,690000,4,2,2,603,239,2013,27800,Currambine Station,4800,"11-2018",6031,-31.707639,115.797407,JOSEPH BANKS SECONDARY COLLEGE,1.000147149,92
5651,84 Ardleigh Crescent,Hamersley,595000,3,1,6,798,183,1969,12500,Warwick Station,1500,"10-2018",6022,-31.84724354,115.8115754,WARWICK SENIOR HIGH SCHOOL,1.020234483,
5652,15B The Ridgeway,Swan View,205000,3,1,,448,103,1988,19000,Midland Station,4000,"11-2019",6056,-31.87679295,116.0390482,SWAN VIEW SENIOR HIGH SCHOOL,1.289265018,
5653,7 Sayer Street,Swanbourne,2325000,5,3,4,1011,236,1979,9400,Grant Street Station,1100,"11-2017",6010,-31.97678,115.76335,SCOTCH COLLEGE,1.047467006,24
5654,35 Messina Drive,Sinagra,565000,4,2,2,528,206,2008,24200,Joondalup Station,3400,"06-2014",6065,-31.74050489,115.8027657,WANNEROO SECONDARY COLLEGE,2.258765016,131
5655,4 Husk Parade,Coogee,940000,4,3,2,657,439,2001,19600,Fremantle Station,7100,"07-2020",6166,-32.11176,115.77202,PORT SCHOOL,3.252110208,
5656,11 Fellbridge Way,Langford,378000,3,1,1,682,100,1989,12400,Thornlie Station,1400,"12-2015",6147,-32.03819562,115.9422359,LANGFORD ISLAMIC COLLEGE,0.996773855,85
5657,15 Koolgoo Way,Koongamia,297492,2,1,1,688,92,1958,17600,Midland Station,4000,"04-2010",6056,-31.90867,116.03839,SWAN VIEW SENIOR HIGH SCHOOL,2.42290657,
5658,17 Moran Close,Bull Creek,970000,4,2,2,880,275,1994,10900,Bull Creek Station,1400,"07-2017",6149,-32.04930692,115.8692541,ALL SAINTS' COLLEGE,0.211126581,21
5659,45 Bramley Loop,Madeley,730000,4,3,3,668,320,2005,16000,Greenwood Station,4900,"06-2017",6065,-31.80997,115.83389,KINGSWAY CHRISTIAN COLLEGE,0.376709216,50
5660,10 Cleopatra Circuit,Bertram,410000,4,2,2,612,148,2005,33500,Kwinana Station,2000,"10-2020",6167,-32.25330798,115.8438598,THE KING'S COLLEGE,0.466345201,
5661,4 Harrier Place,Yangebup,430000,3,1,1,781,118,1987,19200,Cockburn Central Station,3400,"06-2017",6164,-32.1223,115.82217,DIVINE MERCY COLLEGE,0.38768985,
5662,68A Meller Road,Bibra Lake,425000,4,2,1,439,132,1992,16800,Cockburn Central Station,3300,"04-2017",6163,-32.10147,115.83672,LAKELAND SENIOR HIGH SCHOOL,1.209202744,
5663,34 Liberation Street,Harrisdale,390000,3,1,2,294,113,2015,21100,Cockburn Central Station,7000,"09-2020",6112,-32.13084216,115.9322108,CAREY BAPTIST COLLEGE,2.164116296,62
5664,6 Miller Street,Bellevue,360000,2,1,1,1173,92,1980,17600,Midland Station,3200,"02-2013",6056,-31.8986,116.03352,SWAN VIEW SENIOR HIGH SCHOOL,1.604021265,
5665,11 Baudin Place,Coogee,1095000,6,3,2,800,375,1995,20400,Cockburn Central Station,8200,"04-2017",6166,-32.11961,115.77187,PORT SCHOOL,4.115906604,
5666,2 Lefroy Street,Serpentine,495000,4,2,2,2029,184,1980,47000,Armadale Station,23400,"03-2013",6125,-32.36192,115.97965,COURT GRAMMAR SCHOOL,10.32031473,
5667,25 Lindberg Boulevard,Ellenbrook,385000,4,2,2,480,235,2015,26700,Midland Station,16000,"03-2020",6069,-31.74762003,116.0054503,HOLY CROSS COLLEGE,4.119722988,98
5668,4A Kings Court,Carine,465000,3,1,1,914,95,1976,12600,Warwick Station,960,"04-2017",6020,-31.85327941,115.7950984,CARINE SENIOR HIGH SCHOOL,1.819032365,47
5669,8 Hibbertia Court,Jarrahdale,575000,6,2,4,4122,263,2008,47400,Armadale Station,21600,"12-2011",6124,-32.34618748,116.054906,COURT GRAMMAR SCHOOL,10.40370291,
5670,15 Tissington Drive,Darch,500000,4,2,2,623,182,2006,15500,Greenwood Station,5700,"01-2020",6065,-31.81431685,115.8434015,ASHDALE SECONDARY COLLEGE,0.349664438,75
5671,32 Meyrick Way,Langford,419900,3,1,2,771,106,1970,13100,Thornlie Station,1200,"11-2014",6147,-32.04807,115.93951,LANGFORD ISLAMIC COLLEGE,0.315206771,85
5672,19 Cobby Place,Marangaroo,439000,4,2,3,495,173,2007,14300,Greenwood Station,6600,"04-2019",6064,-31.82383,115.85216,ASHDALE SECONDARY COLLEGE,1.691061181,75
5673,8 Bristow Street,Haynes,167000,4,2,2,340,173,2015,26200,Armadale Station,2400,"02-2014",6112,-32.15937144,115.9888199,DALE CHRISTIAN SCHOOL,0.933727375,
5674,15 Wheatley Drive,Bull Creek,651000,4,2,2,702,148,1980,12400,Murdoch Station,1400,"09-2019",6149,-32.06375,115.8646,WILLETTON SENIOR HIGH SCHOOL,1.404964741,18
5675,476C Karrinyup Road,Gwelup,780000,4,1,,401,202,2010,9900,Stirling Station,1700,"03-2018",6018,-31.88193191,115.7948155,BALCATTA SENIOR HIGH SCHOOL,1.794058745,135
5676,160 Eddystone Avenue,Craigie,445000,3,1,6,684,85,1978,21000,Edgewater Station,1400,"02-2020",6025,-31.77995,115.76731,BELRIDGE SECONDARY COLLEGE,1.133578869,102
5677,32 Kitchener Avenue,Bayswater,740000,4,2,6,422,230,2012,5400,Meltham Station,661,"03-2020",6053,-31.92567,115.90615,CHISHOLM CATHOLIC COLLEGE,1.660674617,29
5678,166B Safety Bay Road,Shoalwater,450000,4,2,2,460,185,2014,40900,Rockingham Station,4800,"07-2016",6169,-32.29737963,115.7109423,ROCKINGHAM SENIOR HIGH SCHOOL,2.692892352,
5679,1 Herbert Road,Subiaco,910000,2,1,1,241,120,,4600,Daglish Station,422,"07-2018",6008,-31.95496368,115.8103043,SHENTON COLLEGE,0.866979288,14
5680,6 Kimber Place,Mount Helena,404000,3,1,2,1074,127,1971,34000,Midland Station,19600,"03-2016",6082,-31.87476,116.2072,EASTERN HILLS SENIOR HIGH SCHOOL,1.220660168,105
5681,36 Brennan Rise,Gidgegannup,590000,3,2,2,24569,148,1994,41200,Midland Station,26200,"03-2016",6083,-31.7615,116.23222,EASTERN HILLS SENIOR HIGH SCHOOL,12.56224843,105
5682,14 Delaney Road,Aveley,485000,4,2,2,540,200,,22800,East Guildford Station,13400,"11-2020",6069,-31.77612249,115.9823032,HOLY CROSS COLLEGE,0.86885001,98
5683,23 Manhattan Concourse,Hilbert,535000,4,1,,528,224,2015,27400,Armadale Station,5100,"12-2015",6112,-32.18014195,115.9681978,DALE CHRISTIAN SCHOOL,3.691590588,
5684,87 Meriwa Street,Nedlands,1500000,4,3,2,468,104,1933,5400,Shen,2000,"03-2018",6009,-31.97687,115.81021,SHENTON COLLEGE,2.0271411,14
5685,97 Fairway Circle,Connolly,880000,4,2,2,547,220,,24900,Joondalup Station,2400,"02-2019",6027,-31.751337,115.742843,PRENDIVILLE CATHOLIC COLLEGE,0.477293336,60
5686,26 Chardonnay Drive,The Vines,670000,4,2,2,2117,257,1995,26000,Midland Station,15300,"05-2019",6069,-31.75419,116.00421,HOLY CROSS COLLEGE,3.560345458,98
5687,1/22 Redgate Court,Kiara,410000,3,1,1,363,110,1994,10900,Bassendean Station,2400,"06-2014",6054,-31.88305922,115.9412048,KIARA COLLEGE,0.849603677,
5688,21 Nautical Grove,Beldon,460000,3,1,2,731,124,1984,22100,Edgewater Station,2200,"09-2016",6027,-31.77409,115.7558,BELRIDGE SECONDARY COLLEGE,0.81019103,102
5689,8 Cockman Cross,Stratton,350000,5,2,2,576,175,,19200,Midland Station,4200,"08-2018",6056,-31.86995,116.03739,SWAN VIEW SENIOR HIGH SCHOOL,2.057179252,
5690,18B Aldercress Rise,Connolly,530000,4,2,1,902,147,1990,25400,Joondalup Station,2600,"12-2014",6027,-31.74777558,115.740075,PRENDIVILLE CATHOLIC COLLEGE,0.769260044,60
5691,4 Tortorici Avenue,Sinagra,450000,3,2,2,604,197,2006,24300,Joondalup Station,3600,"01-2018",6065,-31.73862,115.80484,WANNEROO SECONDARY COLLEGE,2.35280279,131
5692,3 Majestic Place,Connolly,700000,4,2,2,830,223,1991,25700,Joondalup Station,2600,"03-2016",6027,-31.74449,115.74048,PRENDIVILLE CATHOLIC COLLEGE,1.136321406,60
5693,5 Monticello Meander,Landsdale,828000,5,3,2,480,405,2011,15800,Greenwood Station,8300,"02-2018",6065,-31.81139395,115.8701248,LANDSDALE CHRISTIAN SCHOOL,0.583185399,
5694,18 Waylen Street,Guildford,785000,2,2,4,625,165,1990,12700,East Guildford Station,366,"03-2018",6055,-31.89645,115.97683,GUILDFORD GRAMMAR SCHOOL,0.548282586,52
5695,37 Wundu Entrance,South Guildford,455000,4,2,1,450,130,2000,12600,East Guildford Station,2100,"10-2014",6055,-31.9146,115.98443,GUILDFORD GRAMMAR SCHOOL,2.299850903,52
5696,23 Cockram Street,Mundijong,305000,3,1,2,1674,149,,39900,Armadale Station,16100,"11-2012",6123,-32.2957,115.9807,COURT GRAMMAR SCHOOL,3.062718701,
5697,320 Marri Park Drive,Casuarina,1530000,4,4,4,9986,700,2008,30700,Kwinana Station,2900,"06-2013",6167,-32.22786,115.87171,THE KING'S COLLEGE,4.259313076,
5698,121 Vincent Road,Sinagra,519000,4,2,2,502,200,,24000,Joondalup Station,4300,"07-2016",6065,-31.73970885,115.8116616,WANNEROO SECONDARY COLLEGE,2.04730198,131
5699,67 Delton Way,Atwell,545000,4,2,2,627,206,,20200,Cockburn Central Station,978,"01-2020",6164,-32.1336,115.8612,ATWELL COLLEGE,1.184937471,129
5700,10 Burleigh Drive,Burns Beach,860000,4,2,2,576,243,2012,28400,Currambine Station,2000,"04-2017",6028,-31.72204212,115.7295584,LAKE JOONDALUP BAPTIST COLLEGE,3.468846134,80
5701,3500 Great Eastern Highway,Mahogany Creek,377000,3,1,1,540,99,1950,25900,Midland Station,11900,"05-2008",6072,-31.90063,116.12662,HELENA COLLEGE,3.407945349,78
5702,53 Sydenham Road,Doubleview,950000,3,1,2,668,120,1974,8900,Stirling Station,2100,"01-2019",6018,-31.9023986,115.7846542,INTERNATIONAL SCHOOL OF WESTERN AUSTRALIA,0.793261091,
5703,317B Scarborough Beach Road,Woodlands,582000,3,2,2,1013,125,2006,8800,Stirling Station,1700,"01-2015",6018,-31.900229,115.788712,INTERNATIONAL SCHOOL OF WESTERN AUSTRALIA,1.064944617,
5704,47 Campbell Street,Kensington,820000,3,2,1,506,168,1930,4000,Claisebrook Station,4100,"06-2016",6151,-31.98623,115.87376,WESLEY COLLEGE,1.015987506,37
5705,21 Paterson Gardens,Winthrop,1050000,4,2,2,802,300,,11100,Bull Creek Station,2100,"01-2015",6150,-32.04928,115.83173,CORPUS CHRISTI COLLEGE,1.358901975,28
5706,9 Stubbs Terrace,Daglish,950000,2,1,2,486,102,1938,3900,Daglish Station,619,"04-2020",6008,-31.94817202,115.8177892,PERTH MODERN SCHOOL,1.78980884,1
5707,3/11 Favazzo Place,Spearwood,415000,3,2,2,289,113,,19900,Cockburn Central Station,7600,"03-2018",6163,-32.11784,115.77832,PORT SCHOOL,3.874597176,
5708,13 Barranduna Drive,Mount Nasura,442500,4,2,2,733,154,1980,26500,Armadale Station,1400,"10-2016",6112,-32.14536,116.02339,JOHN CALVIN CHRISTIAN COLLEGE,1.625627708,56
5709,141 Eudoria Street,Gosnells,250000,3,1,1,811,85,1969,19500,Gosnells Station,1100,"11-2019",6110,-32.08112,115.99845,SOUTHERN RIVER COLLEGE,1.816121947,121
5710,12 Clyde Road,Menora,1630000,5,3,2,759,281,1935,3600,Perth Station,3400,"07-2009",6050,-31.92032,115.85932,MOUNT LAWLEY SENIOR HIGH SCHOOL,0.98973256,20
5711,30 Wallum Road,Banksia Grove,387500,4,2,2,450,139,2010,28900,Clarkson Station,5900,"10-2019",6031,-31.69750899,115.7994934,JOSEPH BANKS SECONDARY COLLEGE,0.303709067,92
5712,19 Birchwood Avenue,Woodlands,930000,4,2,1,769,161,1963,8300,Stirling Station,1700,"05-2015",6018,-31.90426464,115.7915728,HALE SCHOOL,1.159457279,6
5713,19 Southwark Way,Morley,467500,3,1,2,851,95,,9000,Bayswater Station,3900,"12-2019",6062,-31.88315131,115.9091446,HAMPTON SENIOR HIGH SCHOOL,1.885773554,117
5714,43 BEAUMONT WAY,Greenwood,527500,3,2,2,729,190,1974,14800,Warwick Station,2700,"10-2020",6024,-31.82511,115.81278,THE MONTESSORI SCHOOL,1.50242543,
5715,10 Victoria Road,West Swan,627500,4,1,3,3952,145,1974,16000,Woodbridge Station,3400,"03-2013",6055,-31.861,115.99036,SWAN CHRISTIAN COLLEGE,2.043162527,93
5716,11 Davidson Road,Attadale,2000000,5,3,2,822,125,1958,10000,North Fremantle Station,4400,"02-2017",6156,-32.02576,115.79821,SANTA MARIA COLLEGE,0.826109638,10
5717,17 Riversdale Pass,Jandakot,525000,4,2,1,452,188,1998,16700,Cockburn Central Station,2600,"06-2015",6164,-32.10221,115.85374,LAKELAND SENIOR HIGH SCHOOL,1.059928509,
5718,2 Hedland Street,East Victoria Park,660000,3,2,3,248,184,2005,5300,Carlisle Station,1300,"04-2019",6101,-31.98613329,115.8988903,KENT STREET SENIOR HIGH SCHOOL,0.589701146,93
5719,7 James Street,Mariginiup,610000,3,1,3,2295,153,1970,25200,Joondalup Station,4100,"06-2013",6078,-31.73021,115.80695,WANNEROO SECONDARY COLLEGE,3.173210783,131
5720,14 Chittawarra Court,Glen Forrest,515000,4,2,1,1914,167,1988,22900,Midland Station,8900,"03-2013",6071,-31.90203,116.09395,HELENA COLLEGE,0.64985212,78
5721,16 Grande Way,Beechboro,330000,4,2,8,705,127,1987,11800,Bassendean Station,3800,"09-2018",6063,-31.87016,115.93796,KIARA COLLEGE,0.854637725,
5722,9 Lunata Street,Dayton,300000,3,2,2,210,109,2014,14600,Guildford Station,4400,"08-2020",6055,-31.85898217,115.9682579,KIARA COLLEGE,3.745700563,
5723,20 Hubert Street,Guildford,658000,4,1,3,373,121,1900,12400,East Guildford Station,665,"03-2016",6055,-31.89994,115.97451,GUILDFORD GRAMMAR SCHOOL,0.957716906,52
5724,10 Vitesse Approach,Shoalwater,445000,4,2,2,522,200,,40200,Rockingham Station,4200,"02-2017",6169,-32.29270517,115.7166756,ROCKINGHAM SENIOR HIGH SCHOOL,1.970692362,
5725,21A McKimmie Road,Palmyra,780000,4,2,2,1032,173,2013,12000,North Fremantle Station,3200,"12-2019",6157,-32.03952913,115.784353,MELVILLE SENIOR HIGH SCHOOL,2.128352012,61
5726,14A Shearn Crescent,Doubleview,970000,3,2,4,450,205,2002,9400,Stirling Station,2400,"06-2018",6018,-31.90118,115.78026,INTERNATIONAL SCHOOL OF WESTERN AUSTRALIA,0.388601079,
5727,53A Wellington Parade,Yokine,569000,4,2,2,429,190,2003,5200,Glendalough Station,3200,"11-2018",6060,-31.90528,115.85506,CARMEL SCHOOL,0.954027378,13
5728,33 Logue Road,Millendon,90000,4,3,2,28225,268,1990,22900,Midland Station,9700,"10-1989",6056,-31.80868,116.03246,SWAN VALLEY ANGLICAN COMMUNITY SCHOOL,4.721198775,53
5729,13 Harper Street,Woodbridge,620000,3,1,2,583,155,1930,14600,Woodbridge Station,320,"08-2013",6056,-31.88936,115.99456,GOVERNOR STIRLING SENIOR HIGH SCHOOL,0.545476621,130
5730,15 Polglass Way,Ardross,1715000,5,3,2,728,315,1964,8600,Bull Creek Station,2500,"09-2017",6153,-32.02765,115.84039,APPLECROSS SENIOR HIGH SCHOOL,0.535389196,34
5731,296 Robinson Avenue,Cloverdale,620000,4,2,2,845,201,1998,7900,Queens Park Station,4300,"04-2019",6105,-31.968699,115.939829,BELMONT CITY COLLEGE,1.20383251,57
5732,17 Purser Cove,Murdoch,550000,4,2,2,916,162,1989,12500,Murdoch Station,1500,"02-2012",6150,-32.06291,115.83465,CORPUS CHRISTI COLLEGE,1.018987013,28
5733,43 Edwards Entrance,Stratton,259000,3,1,1,519,110,,19400,Midland Station,4400,"11-2018",6056,-31.86877,116.03947,SWAN VIEW SENIOR HIGH SCHOOL,2.131182778,
5734,88 Elvira Street,Palmyra,820000,4,2,1,970,149,,11800,North Fremantle Station,3800,"09-2020",6157,-32.04040631,115.7900587,MELVILLE SENIOR HIGH SCHOOL,1.593836735,61
5735,26 Carradale Glen,Hillarys,1290000,4,1,,735,377,1998,20100,Whitfords Station,4300,"09-2020",6025,-31.80414,115.73672,ST MARK'S ANGLICAN COMMUNITY SCHOOL,0.856509508,58
5736,283 Onslow Road,Shenton Park,1230000,4,3,2,362,114,1997,4800,Shen,391,"11-2016",6008,-31.96103,115.80931,SHENTON COLLEGE,0.612844301,14
5737,67 Sanctuary Drive,Bertram,362500,4,2,2,546,218,2010,32700,Kwinana Station,1400,"10-2019",6167,-32.24564701,115.8507416,THE KING'S COLLEGE,1.467164262,
5738,9 Kalgoorlie Street,Ascot,900000,4,2,2,911,217,2000,6800,Ashfield Station,2900,"07-2014",6104,-31.93853647,115.9286697,BELMONT CITY COLLEGE,2.328527315,57
5739,11 Whitewater Lookout,Iluka,900000,4,2,2,737,304,2004,26700,Currambine Station,2600,"05-2020",6028,-31.7391743,115.7283039,PRENDIVILLE CATHOLIC COLLEGE,2.033394529,60
5740,43 Osborne Street,Joondanna,435000,3,1,1,293,106,1993,4900,Glendalough Station,1900,"10-2019",6060,-31.9105934,115.842067,SERVITE COLLEGE,1.184444686,65
5741,11 Fullston Way,Beaconsfield,665000,3,2,2,245,179,2013,16400,Fremantle Station,2900,"12-2020",6162,-32.07393781,115.7611412,FREMANTLE COLLEGE,0.930071322,128
5742,1 Smullin Street,Hamilton Hill,470000,3,2,4,448,104,1999,16500,Fremantle Station,4100,"03-2020",6163,-32.08078,115.77248,PORT SCHOOL,0.599333476,
5743,13 Yabera Road,Forrestfield,460000,4,2,2,462,218,2012,14800,Madding,7100,"12-2020",6058,-31.97759096,116.0130856,DARLING RANGE SPORTS COLLEGE,0.300347765,137
5744,4 Carenza Link,Aveley,380000,4,2,2,376,172,2014,22000,Woodbridge Station,11100,"12-2020",6069,-31.79153924,115.993489,SWAN VALLEY ANGLICAN COMMUNITY SCHOOL,0.821445515,53
5745,177 Hamilton Street,Queens Park,380000,3,2,3,250,140,2000,9300,Queens Park Station,705,"09-2017",6107,-32.00067576,115.9393006,ST NORBERT COLLEGE,0.421924061,42
5746,9 Fourmile Avenue,Burns Beach,937250,4,3,2,612,279,2011,28300,Currambine Station,2900,"08-2016",6028,-31.726862,115.719869,PRENDIVILLE CATHOLIC COLLEGE,3.617996797,60
5747,13 Alexander Drive,Menora,1000000,4,3,2,922,334,1955,3400,Mount Lawley Station,2200,"08-2011",6050,-31.92184,115.86275,MOUNT LAWLEY SENIOR HIGH SCHOOL,0.664356128,20
5748,2 Foreshore Entrance,Wilson,610000,4,2,4,504,162,1993,9700,Welshpool Station,3800,"04-2017",6107,-32.0275919,115.9097843,FOUNTAIN COLLEGE,1.381475944,
5749,12 Litchfield Circle,Wandi,445000,4,2,2,350,156,,26800,Kwinana Station,4900,"09-2018",6167,-32.19350586,115.8606963,ATWELL COLLEGE,5.52089546,129
5750,195 Wentworth Parade,Success,550000,3,2,2,519,216,,21100,Cockburn Central Station,1800,"12-2018",6164,-32.14151,115.85704,ATWELL COLLEGE,0.722494242,129
5751,21 Boya Crescent,Boya,315000,3,1,,2025,306,1975,19300,Midland Station,6400,"08-2004",6056,-31.91942841,116.0596354,TREETOPS MONTESSORI SCHOOL,1.379375005,
5752,15 Pimelia Grove,Thornlie,530000,4,2,2,680,234,1990,15900,Thornlie Station,2900,"05-2020",6108,-32.07324,115.94752,THORNLIE SENIOR HIGH SCHOOL,1.380302552,125
5753,40A Hope Street,Watermans Bay,680000,1,1,,1134,261,2014,14700,Warwick Station,3800,"02-2013",6020,-31.85242161,115.7575542,CARINE SENIOR HIGH SCHOOL,1.729571504,47
5754,1580 Ryecroft Road,Glen Forrest,629000,4,1,1,4788,168,1950,22800,Midland Station,9500,"09-2020",6071,-31.9179,116.09705,HELENA COLLEGE,1.275327797,78
5755,33 Kedleston Link,The Vines,610000,4,2,2,676,250,2014,25200,Woodbridge Station,15000,"09-2020",6069,-31.75664919,115.9920972,HOLY CROSS COLLEGE,2.516085232,98
5756,11A Shirley Avenue,Mount Pleasant,1000000,4,2,,645,221,1998,9600,Bull Creek Station,1000,"10-2020",6153,-32.03793,115.85429,AQUINAS COLLEGE,1.484875168,23
5757,15 Padbury Road,Darlington,600000,4,2,2,2022,174,1990,20400,Midland Station,6600,"08-2016",6070,-31.90755,116.06832,TREETOPS MONTESSORI SCHOOL,1.495268825,
5758,27 Vivaldi Avenue,Stirling,950000,4,2,2,377,290,2007,8700,Stirling Station,881,"09-2017",6021,-31.88713,115.80849,BALCATTA SENIOR HIGH SCHOOL,1.339447637,135
5759,13 Nattai Court,Armadale,218000,3,1,,708,90,1976,25900,Armadale Station,1300,"08-2019",6112,-32.15240396,115.999197,DALE CHRISTIAN SCHOOL,0.771173855,
5760,15 Inlet Grove,Mullaloo,850000,5,2,2,759,225,1990,22900,Edgewater Station,4000,"06-2016",6027,-31.77439,115.73652,OCEAN REEF SENIOR HIGH SCHOOL,1.749728079,83
5761,16 Apple Blossom Drive,Mirrabooka,400000,3,1,1,706,120,1989,11300,Warwick Station,6900,"07-2015",6061,-31.8515,115.86936,MERCY COLLEGE,1.211415802,46
5762,4 Meere Lane,Clarkson,350000,4,2,2,678,152,1995,33000,Clarkson Station,1800,"10-2020",6030,-31.6766,115.72956,CLARKSON COMMUNITY HIGH SCHOOL,0.284167881,
5763,1 Quenda Close,Beeliar,520000,4,2,2,545,211,2000,20000,Cockburn Central Station,3900,"02-2019",6164,-32.12801,115.81709,DIVINE MERCY COLLEGE,0.846124306,
5764,37 Lilac Hill Vista,Madeley,455000,3,2,2,339,148,2003,15500,Greenwood Station,4000,"03-2017",6065,-31.81549539,115.8258918,KINGSWAY CHRISTIAN COLLEGE,1.172610674,50
5765,24 Ernest Way,Hilbert,335000,3,2,2,250,97,2014,26900,Armadale Station,2400,"12-2015",6112,-32.16580565,115.9915764,DALE CHRISTIAN SCHOOL,0.986854547,
